Key;Item Type;Publication Year;Author;Title;Journal Name;Conference Name;DOI
EAW65XVG;journalArticle;2024;"Hogg, J.; Staples, K.; Davis, A.; Cramb, S.; Patterson, C.; Kirkland, L.; Gourley, M.; Xiao, J.; Sun, W.";Improving the spatial and temporal resolution of burden of disease measures with Bayesian models;Spatial and Spatio-temporal Epidemiology;;10.1016/j.sste.2024.100663
ZJDPB7EY;journalArticle;2024;"Ibrahim, E.A.; Wamalwa, M.; Odindi, J.; Tonnang, H.E.Z.";Spatio-temporal characterization of phenotypic resistance in malaria vector species;BMC Biology;;10.1186/s12915-024-01915-z
4V2B2JST;journalArticle;2025;"Maulana, K.Y.; Na-Lampang, K.; Arjkumpa, O.; Buamithup, N.; Intawong, K.; Punyapornwithaya, V.";Geographical Distribution, Spatial Directional Trends, and Spatio-Temporal Clusters of the First Rapid and Widespread Lumpy Skin Disease Outbreaks in Thailand;Transboundary and Emerging Diseases;;10.1155/tbed/4900775
BNP6QWIM;journalArticle;2025;"Augusseau, P.E.; Proisy, C.; Gardel, A.; Brunier, G.; Granjon, L.; Maury, T.; Mury, A.; Staquet, A.; Santos, V.F.; Walcker, R.; Degenne, P.; Lo Seen, D.; Anthony, E.J.";MANG@COAST: A spatio-temporal modeling approach of muddy shoreline mobility based on mangrove monitoring;Environmental Modelling and Software;;10.1016/j.envsoft.2025.106345
KXNZBHCZ;journalArticle;2025;"Afrifa-Yamoah, E.; Osei, P.M.";Bayesian spatio-temporal modeling of African CO2 emissions (1990–2020): A hierarchical approach to identify determinants, regional trends, and local dynamics;Science of the Total Environment;;10.1016/j.scitotenv.2025.178894
92TKS9YS;journalArticle;2024;"López-Lacort, M.; Corberán-Vallet, A.; Briz-Redón, Á.; Santonja Gómez, F.J.; Muñoz-Quiles, C.; Orrico-Sánchez, A.";A Bayesian spatio-temporal model for cluster detection: identifying HPV suboptimal vaccine coverage;Stochastic Environmental Research and Risk Assessment;;10.1007/s00477-024-02815-y
MXWBN2WA;journalArticle;2024;"Satorra, P.; Tebé, C.";Bayesian spatio-temporal analysis of the COVID-19 pandemic in Catalonia;Scientific Reports;;10.1038/s41598-024-53527-w
S2BDVVU2;journalArticle;2024;"Mota-Bertran, A.; Coenders, G.; Plaja, P.; Saez, M.; Barceló, M.A.";Air pollution and children’s mental health in rural areas: compositional spatio-temporal model;Scientific Reports;;10.1038/s41598-024-70024-2
XXV8KKBB;journalArticle;2024;"Lei, J.; MacNab, Y.";Bayesian hierarchical spatiotemporal models for prediction of (under)reporting rates and cases: COVID-19 infection among the older people in the United States during the 2020–2022 pandemic;Spatial and Spatio-temporal Epidemiology;;10.1016/j.sste.2024.100658
ILBGDIE2;journalArticle;2024;"Shi, Y.; Han, Q.; Zhang, S.; Yang, S.; Cheng, T.; Fan, W.; Zhao, G.; Han, H.; Zhang, H.";Seasonal Spatio-Temporal Model Improves Refined Stock Assessment and Management of Japanese Sardine (Sardinops melanostictus) in the Northwest Pacific Ocean;Animals;;10.3390/ani14233434
ANCBKSZJ;journalArticle;2024;"Bofa, A.; Zewotir, T.";Optimizing spatio-temporal correlation structures for modeling food security in Africa: a simulation-based investigation;BMC Bioinformatics;;10.1186/s12859-024-05791-w
7PFIZ8KW;journalArticle;2025;"Siri, P.; Fedrigo, J.K.; Posse, J.P.; Benitez, V.; Hirigoyen, A.; Ingaramo, L.; González Barrios, P.";Spatio-temporal modeling of eucalyptus and pinus intercropping systems: effects of weed control and row distance;Agroforestry Systems;;10.1007/s10457-025-01171-2
