Key;Item Type;Publication Year;Author;Title;Journal Name;Conference Name;DOI
6UVLVBLZ;journalArticle;2025;"Huang, Y.; Chen, X.; Zhu, L.";Exploring Trade-Offs/Synergies and Drivers of Ecosystem Services in the Dongting Lake Area, China;Sustainability (Switzerland);;10.3390/su17041650
G6GU2HI6;journalArticle;2024;Briz-Redón, Á.;A Bayesian Aoristic Logistic Regression to Model Spatio-Temporal Crime Risk Under the Presence of Interval-Censored Event Times;Journal of Quantitative Criminology;;10.1007/s10940-023-09580-1
M4VGV5JQ;journalArticle;2024;"Reuvers, H.; Wijler, E.";Sparse generalized Yule–Walker estimation for large spatio-temporal autoregressions with an application to NO2 satellite data;Journal of Econometrics;;10.1016/j.jeconom.2023.105520
65BU2M2E;journalArticle;2023;Wen, K.;A semiparametric spatio-temporal model of crop yield trend and its implication to insurance rating;Agricultural Economics (United Kingdom);;10.1111/agec.12798
G6QM4YWG;journalArticle;2023;"Dabral, A.; Shankhwar, R.; Martins-Ferreira, M.A.C.; Pandey, S.; Kant, R.; Meena, R.K.; Chandra, G.; Ginwal, H.S.; Thakur, P.K.; Bhandari, M.S.; Sahu, N.; Nayak, S.";Phenotypic, Geological, and Climatic Spatio-Temporal Analyses of an Exotic Grevillea robusta in the Northwestern Himalayas;Sustainability (Switzerland);;10.3390/su151612292
2FSCALHS;journalArticle;2023;"Espinasse, M.; Mikkelsen, E.; Sørbye, S.H.; Skern-Mauritzen, M.; Falk-Andersson, J.; Fauchald, P.";Seafood production in Northern Norway: Analyzing variation and co-development in aquaculture and coastal fisheries;Marine Policy;;10.1016/j.marpol.2023.105777
KTYISFUL;journalArticle;2022;"Dimakopoulou, K.; Samoli, E.; Analitis, A.; Schwartz, J.; Beevers, S.; Kitwiroon, N.; Beddows, A.; Barratt, B.; Rodopoulou, S.; Zafeiratou, S.; Gulliver, J.; Katsouyanni, K.";Development and Evaluation of Spatio-Temporal Air Pollution Exposure Models and Their Combinations in the Greater London Area, UK;International Journal of Environmental Research and Public Health;;10.3390/ijerph19095401
PDV2MCYD;journalArticle;2023;"Armando, C.J.; Rocklöv, J.; Sidat, M.; Tozan, Y.; Mavume, A.F.; Bunker, A.; Sewes, M.O.";Climate variability, socio-economic conditions and vulnerability to malaria infections in Mozambique 2016–2018: a spatial temporal analysis;Frontiers in Public Health;;10.3389/fpubh.2023.1162535
KUSF34EQ;journalArticle;2022;Johnson, D.P.;Population-Based Disparities in U.S. Urban Heat Exposure from 2003 to 2018;International Journal of Environmental Research and Public Health;;10.3390/ijerph191912314
ELP3IADI;journalArticle;2022;Ahlqvist, T.;An outline of future-oriented dialectics: Conceptualising dialectical positions, trajectories and processes in the context of futures research;Futures;;10.1016/j.futures.2022.103037
