Key;Item Type;Publication Year;Author;Title;Journal Name;Conference Name;DOI
KMC58TQ9;journalArticle;2024;"van Duynhoven, A.; Dragićević, S.";The Geographic Automata Tool: A New General-Purpose Geosimulation Extension for ArcGIS Pro;Applied Sciences (Switzerland);;10.3390/app14156530
EAW65XVG;journalArticle;2024;"Hogg, J.; Staples, K.; Davis, A.; Cramb, S.; Patterson, C.; Kirkland, L.; Gourley, M.; Xiao, J.; Sun, W.";Improving the spatial and temporal resolution of burden of disease measures with Bayesian models;Spatial and Spatio-temporal Epidemiology;;10.1016/j.sste.2024.100663
UCRP7Y93;journalArticle;2024;"Habeb, M.H.; Salama, M.; Elrefaei, L.A.";Enhancing Video Anomaly Detection Using a Transformer Spatiotemporal Attention Unsupervised Framework for Large Datasets;Algorithms;;10.3390/a17070286
F8D2FJ7K;journalArticle;2025;"Kowal, M.; Siam, M.; Islam, M.A.; Bruce, N.D.B.; Wildes, R.P.; Derpanis, K.G.";Quantifying and Learning Static vs. Dynamic Information in Deep Spatiotemporal Networks;IEEE Transactions on Pattern Analysis and Machine Intelligence;;10.1109/TPAMI.2024.3462291
4PQKCDQ6;journalArticle;2024;"Li, J.; Zhang, J.; Wang, L.; Zhao, A.";A Hierarchical Spatiotemporal Data Model Based on Knowledge Graphs for Representation and Modeling of Dynamic Landslide Scenes;Sustainability (Switzerland);;10.3390/su162310271
AIEK7IVT;journalArticle;2024;"van Lieshout, M.N.M.; Baki, Z.";Exploring Seismic Hazard in the Groningen Gas Field Using Adaptive Kernel Smoothing;Mathematical Geosciences;;10.1007/s11004-023-10081-x
WZEIRME6;journalArticle;2024;"Shehnepoor, S.; Togneri, R.; Liu, W.; Bennamoun, M.";Spatio-Temporal Graph Representation Learning for Fraudster Group Detection;IEEE Transactions on Neural Networks and Learning Systems;;10.1109/TNNLS.2022.3212001
ZJDPB7EY;journalArticle;2024;"Ibrahim, E.A.; Wamalwa, M.; Odindi, J.; Tonnang, H.E.Z.";Spatio-temporal characterization of phenotypic resistance in malaria vector species;BMC Biology;;10.1186/s12915-024-01915-z
4V2B2JST;journalArticle;2025;"Maulana, K.Y.; Na-Lampang, K.; Arjkumpa, O.; Buamithup, N.; Intawong, K.; Punyapornwithaya, V.";Geographical Distribution, Spatial Directional Trends, and Spatio-Temporal Clusters of the First Rapid and Widespread Lumpy Skin Disease Outbreaks in Thailand;Transboundary and Emerging Diseases;;10.1155/tbed/4900775
BNP6QWIM;journalArticle;2025;"Augusseau, P.E.; Proisy, C.; Gardel, A.; Brunier, G.; Granjon, L.; Maury, T.; Mury, A.; Staquet, A.; Santos, V.F.; Walcker, R.; Degenne, P.; Lo Seen, D.; Anthony, E.J.";MANG@COAST: A spatio-temporal modeling approach of muddy shoreline mobility based on mangrove monitoring;Environmental Modelling and Software;;10.1016/j.envsoft.2025.106345
G8DD6ATH;journalArticle;2024;"Hao, Y.; Zhou, D.; Wang, Z.; Ngo, C.-W.; Wang, M.";PosMLP-Video: Spatial and Temporal Relative Position Encoding for Efficient Video Recognition;International Journal of Computer Vision;;10.1007/s11263-024-02154-z
